지점,일시,가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2)
159,2022-05-01,13.6,11.7,1200,3.66,28.71
159,2022-05-02,13.6,9.3,1200,3.52,25.02
159,2022-05-03,13.7,12.1,1200,3.69,29.15
159,2022-05-04,13.7,12.1,1200,3.77,30.01
159,2022-05-05,13.7,12.3,1200,3.76,30.03
159,2022-05-06,13.8,12.3,1200,3.65,28.82
159,2022-05-07,13.8,9.9,1200,3.5,26.7
159,2022-05-08,13.8,10.4,1100,3.43,27.2
159,2022-05-09,13.8,8,1100,3.43,23
159,2022-05-10,13.9,4.9,1400,2.62,19.88
159,2022-05-11,13.9,5.6,1200,3.5,22.52
159,2022-05-12,13.9,0.3,1100,2.25,13.68
159,2022-05-13,14,0,1300,1.3,9.85
159,2022-05-14,14,9.7,1200,3.75,27.94
159,2022-05-15,14,9.3,1300,3.23,24.67
159,2022-05-16,14,10.8,1200,3.78,29.64
159,2022-05-17,14.1,12,1200,3.71,29.51
159,2022-05-18,14.1,12.3,1200,3.54,28.53
159,2022-05-19,14.1,5.2,1300,3.01,20.58
159,2022-05-20,14.1,4.9,1100,3.28,20.14
159,2022-05-21,14.2,12.4,1200,3.54,28.37
159,2022-05-22,14.2,12.2,1200,3.58,28.5
159,2022-05-23,14.2,10.6,1200,3.52,26.74
159,2022-05-24,14.2,12.3,1200,3.49,27.89
159,2022-05-25,14.2,11.8,1200,3.54,28.15
159,2022-05-26,14.3,8.8,1200,3.79,26.12
159,2022-05-27,14.3,12.5,1200,3.65,30.2
159,2022-05-28,14.3,10.4,1100,2.96,23.66
159,2022-05-29,14.3,12.5,1200,3.72,30.64
159,2022-05-30,14.3,4.5,1200,2.51,19.77
159,2022-05-31,14.4,12.5,1200,3.73,30.5
159,2022-06-01,14.4,10.6,1200,3.42,26.67
159,2022-06-02,14.4,12.5,1200,3.75,30.68
159,2022-06-03,14.4,12.4,1200,3.55,28.96
159,2022-06-04,14.4,7.5,1100,3.38,23.15
159,2022-06-05,14.4,0,1300,0.43,2.85
159,2022-06-06,14.4,4.1,900,2.14,16.48
159,2022-06-07,14.4,0.8,1300,1.99,12.76
159,2022-06-08,14.5,3.4,1400,2.4,17.67
159,2022-06-09,14.5,11.7,1200,3.64,28.84
159,2022-06-10,14.5,6.6,1100,3.4,22.08
159,2022-06-11,14.5,4.3,1500,2.42,16.41
159,2022-06-12,14.5,8.3,1200,3.27,24.78
159,2022-06-13,14.5,0,1300,1.66,9.65
159,2022-06-14,14.5,0,1200,0.59,4.02
159,2022-06-15,14.5,3.9,1200,3.21,17.18
159,2022-06-16,14.5,10,1300,3.53,27.13
159,2022-06-17,14.5,10.6,1200,3.47,26.19
159,2022-06-18,14.5,10.7,1200,3.61,27.3
159,2022-06-19,14.5,10.4,1200,3.58,27.33
159,2022-06-20,14.5,11.1,1200,3.38,25.76
159,2022-06-21,14.5,8.8,1100,3.38,26.2
159,2022-06-22,14.5,12.5,1200,3.49,28.76
159,2022-06-23,14.5,0,1300,0.91,4.17
159,2022-06-24,14.5,2.5,1500,2.07,8.33
159,2022-06-25,14.5,2.1,1300,2.78,16.54
159,2022-06-26,14.5,0.2,1000,1.66,8.83
159,2022-06-27,14.5,0,900,0.59,3.19
159,2022-06-28,14.5,0,900,0.64,5.06
159,2022-06-29,14.5,0,1200,1.19,8.3
159,2022-06-30,14.5,9.2,1300,3.56,29.18
159,2022-07-01,14.5,11.7,1200,3.65,30.08
159,2022-07-02,14.5,12.4,1300,3.44,27.95
159,2022-07-03,14.5,9.6,1300,3.48,26.8
159,2022-07-04,14.5,9.8,1200,3.67,26.58
159,2022-07-05,14.5,2.2,1100,3,12.83
159,2022-07-06,14.4,4.6,1400,3.29,22.28
159,2022-07-07,14.4,5.3,1200,3.23,21.75
159,2022-07-08,14.4,1.4,1400,2.53,10.75
159,2022-07-09,14.4,8.9,1200,3.16,25.5
159,2022-07-10,14.4,3.3,1300,2.7,20.67
159,2022-07-11,14.4,0.1,1400,1.22,5.91
159,2022-07-12,14.4,5.4,1200,3.62,22.43
159,2022-07-13,14.3,0,1300,1.67,10.35
159,2022-07-14,14.3,5.8,1300,3.35,18.94
159,2022-07-15,14.3,11.2,1100,3.3,26.83
159,2022-07-16,14.3,12.4,1200,3.52,28.65
