지점,일시,가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2)
159,2021-05-01,13.6,2.8,1300,2,13.72
159,2021-05-02,13.6,5.7,1100,2.57,18.37
159,2021-05-03,13.7,11.6,1200,3.65,28.76
159,2021-05-04,13.7,0.2,1000,1.49,7.37
159,2021-05-05,13.7,10.1,1200,3.66,26.99
159,2021-05-06,13.8,7,1000,3.23,22.25
159,2021-05-07,13.8,5.3,1200,3.72,20.96
159,2021-05-08,13.8,11.8,1100,3.35,27.12
159,2021-05-09,13.9,12.3,1200,3.58,29.35
159,2021-05-10,13.9,2.8,1200,2.76,15.1
159,2021-05-11,13.9,0,1100,1.41,9.47
159,2021-05-12,13.9,5.5,1200,3.41,22.7
159,2021-05-13,14,9.2,1100,3.76,26.78
159,2021-05-14,14,10.1,1100,3.19,24.95
159,2021-05-15,14,0,1500,0.55,3.15
159,2021-05-16,14,0,1300,0.37,2.38
159,2021-05-17,14.1,0,1100,0.71,3.87
159,2021-05-18,14.1,0,1200,0.79,5.55
159,2021-05-19,14.1,9.5,1100,3.51,26.49
159,2021-05-20,14.1,0,1200,0.54,2.63
159,2021-05-21,14.2,5.9,900,2.83,20.44
159,2021-05-22,14.2,12.5,1200,3.65,29.69
159,2021-05-23,14.2,9.6,1400,3.18,26.31
159,2021-05-24,14.2,5.4,1300,3.52,15.85
159,2021-05-25,14.2,8.2,1200,3.34,22.53
159,2021-05-26,14.3,2.3,1100,3.12,16.57
159,2021-05-27,14.3,3.4,1500,1.66,12.26
159,2021-05-28,14.3,6,1100,3.29,19.28
159,2021-05-29,14.3,11.5,1200,3.62,29.45
159,2021-05-30,14.3,12.5,1200,3.64,29.58
159,2021-05-31,14.4,9.6,1300,3.37,26.04
159,2021-06-01,14.4,10.8,1300,3.41,27.67
159,2021-06-02,14.4,6.8,1200,3.12,21.25
159,2021-06-03,14.4,0,1300,0.36,2.69
159,2021-06-04,14.4,8.3,1200,3.87,26.55
159,2021-06-05,14.4,10.7,1300,3.52,26.68
159,2021-06-06,14.4,10,1200,3.48,26.87
159,2021-06-07,14.4,12.1,1200,3.53,28.38
159,2021-06-08,14.5,11.5,1200,3.52,28.42
159,2021-06-09,14.5,11.8,1200,3.56,28.97
159,2021-06-10,14.5,5.3,1100,2.98,19.38
159,2021-06-11,14.5,0,1200,0.56,3.15
159,2021-06-12,14.5,0,1000,0.66,4.52
159,2021-06-13,14.5,6.4,1200,3.4,23.95
159,2021-06-14,14.5,3.5,1100,2.74,18.67
159,2021-06-15,14.5,0,1200,0.76,4.79
159,2021-06-16,14.5,0,1200,1.42,8.66
159,2021-06-17,14.5,0.9,1400,1.94,13.49
159,2021-06-18,14.5,0,1300,1.35,8.68
159,2021-06-19,14.5,12.5,1200,3.65,30.05
159,2021-06-20,14.5,10.8,1100,3.61,27.39
159,2021-06-21,14.5,11.4,1200,3.78,29.64
159,2021-06-22,14.5,8.9,1200,3.51,26.02
159,2021-06-23,14.5,5,1400,3.26,20.67
159,2021-06-24,14.5,5,1100,2.64,20.36
159,2021-06-25,14.5,12.5,1200,3.58,28.58
159,2021-06-26,14.5,5.6,1200,3.42,19.61
159,2021-06-27,14.5,11.2,1200,3.5,28.44
159,2021-06-28,14.5,11,1200,3.59,27.46
159,2021-06-29,14.5,7.9,1000,3.32,24.55
159,2021-06-30,14.5,8.1,1300,3.5,25.39
159,2021-07-01,14.5,8.2,1300,3.51,24
159,2021-07-02,14.5,4,1400,2.31,18.37
159,2021-07-03,14.5,0,1000,1.18,5.1
159,2021-07-04,14.5,2.2,1200,2.99,14.03
159,2021-07-05,14.5,0,1200,1.01,5.56
159,2021-07-06,14.4,0,1300,0.68,2.49
159,2021-07-07,14.4,0.1,900,0.87,3.54
159,2021-07-08,14.4,0.4,1000,1.79,9.92
159,2021-07-09,14.4,2,1500,1.97,12.34
159,2021-07-10,14.4,4.7,1100,3.32,20.42
159,2021-07-11,14.4,8.7,1200,3.28,25
