지점,일시,가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2)
159,2020-05-01,13.6,11.6,1200,3.54,26.87
159,2020-05-02,13.6,5,1000,2.82,17.2
159,2020-05-03,13.7,0,1200,0.49,3.05
159,2020-05-04,13.7,9.7,1200,3.44,24.98
159,2020-05-05,13.7,1.9,900,2.29,15.24
159,2020-05-06,13.8,12.3,1200,3.61,28.54
159,2020-05-07,13.8,12.2,1100,3.67,29.25
159,2020-05-08,13.8,7.2,1000,3.22,23.22
159,2020-05-09,13.9,0,1200,0.37,2.08
159,2020-05-10,13.9,6.1,1400,2.75,20.27
159,2020-05-11,13.9,12.4,1200,3.64,29.38
159,2020-05-12,13.9,11,1200,3.53,27.04
159,2020-05-13,14,12.4,1200,3.68,29.91
159,2020-05-14,14,10.2,1100,3.32,25.69
159,2020-05-15,14,0,1000,0.44,2.93
159,2020-05-16,14.1,4.8,1200,3.68,21.2
159,2020-05-17,14.1,5.3,1300,3.12,21.53
159,2020-05-18,14.1,0.1,1500,1.52,5.89
159,2020-05-19,14.1,6.8,1000,3.31,18.49
159,2020-05-20,14.1,9.1,1200,3.62,26.99
159,2020-05-21,14.2,3.6,1000,2.97,18.58
159,2020-05-22,14.2,8.2,1200,2.67,21.69
159,2020-05-23,14.2,10.8,1200,3.64,27.93
159,2020-05-24,14.2,5.7,1000,3.1,20.49
159,2020-05-25,14.2,3.1,1100,2.59,16.35
159,2020-05-26,14.3,3.6,1500,2.65,14.75
159,2020-05-27,14.3,11.1,1200,3.63,29.12
159,2020-05-28,14.3,12.5,1200,3.55,29.4
159,2020-05-29,14.3,12.1,1200,3.64,29.03
159,2020-05-30,14.3,2.3,1000,2.07,17.47
159,2020-05-31,14.4,4,1300,3.52,21.12
159,2020-06-01,14.4,10.6,1300,3.14,25.49
159,2020-06-02,14.4,11.8,1200,3.67,29.95
159,2020-06-03,14.4,5.9,1300,3.27,21.46
