지점,일시,가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2)
159,2023-08-05,13.8,12.1,1200,3.5,27.45
159,2023-08-06,13.8,11.6,1200,3.5,27.74
159,2023-08-07,13.8,10,1000,3.05,24.51
159,2023-08-08,13.7,5.1,1200,3.3,18.77
159,2023-08-09,13.7,0,1000,0.44,2.97
159,2023-08-10,13.7,0.5,1300,1.84,7.16
159,2023-08-11,13.6,10.3,1200,3.51,26.45
159,2023-08-12,13.6,7.9,1200,3.62,24.32
159,2023-08-13,13.6,9.8,1200,3.55,25.1
159,2023-08-14,13.5,5.6,1100,3.01,18.09
159,2023-08-15,13.5,8.8,1200,3.47,23.96
159,2023-08-16,13.5,0,1300,1.51,6.56
159,2023-08-17,13.4,1.3,1500,1.79,9.18
159,2023-08-18,13.4,5,1400,2.92,15.03
159,2023-08-19,13.4,0,1200,0.61,4.37
159,2023-08-20,13.3,10.6,1200,3.41,25.91
159,2023-08-21,13.3,10.9,1200,3.36,24.84
159,2023-08-22,13.3,7.3,1200,2.87,22.38
159,2023-08-23,13.3,8.8,1300,3.12,23.54
159,2023-08-24,13.2,0,1200,1.57,7.6
159,2023-08-25,13.2,9.4,1100,3.25,23.43
159,2023-08-26,13.1,11.3,1200,3.4,25.51
159,2023-08-27,13.1,10.6,1200,3.24,24.97
159,2023-08-28,13.1,4.3,1200,2.49,16.29
159,2023-08-29,13,0.6,1100,1.66,8.02
159,2023-08-30,13,0.2,1100,1.35,6.96
159,2023-08-31,13,4,900,2.28,15.32
159,2023-09-01,12.9,0,1200,0.56,3
159,2023-09-02,12.9,0.6,1100,1.71,8.26
159,2023-09-03,12.9,9.2,1200,3.27,22.81
159,2023-09-04,12.8,8,1000,2.52,18.87
159,2023-09-05,12.8,10.3,1200,3.24,23.83
159,2023-09-06,12.8,7.4,1300,2.67,17.62
159,2023-09-07,12.7,8.9,1100,2.94,21.03
159,2023-09-08,12.7,8.6,1200,3.4,20.27
159,2023-09-09,12.7,11.2,1200,3.35,25
159,2023-09-10,12.6,7.7,1100,3.09,20.2
159,2023-09-11,12.6,7.1,1000,2.97,18.35
159,2023-09-12,12.5,3.6,1000,2.68,14.83
159,2023-09-13,12.5,0.6,1300,2.19,12.3
159,2023-09-14,12.5,0,1200,1.2,5.22
159,2023-09-15,12.4,0.7,1300,1.31,7.96
159,2023-09-16,12.4,0,1300,0.7,3.5
159,2023-09-17,12.4,0,1100,1,4.23
159,2023-09-18,12.3,7,1200,3.26,17.58
159,2023-09-19,12.3,8.9,1300,2.74,17.95
159,2023-09-20,12.3,0,1000,1.23,5.82
159,2023-09-21,12.2,0,1100,1.18,5.6
159,2023-09-22,12.2,6.8,1400,2.79,18.51
159,2023-09-23,12.1,6.3,1100,2.85,17.14
159,2023-09-24,12.1,8.5,1100,2.81,19.37
159,2023-09-25,12.1,3.2,1100,2.64,14.56
159,2023-09-26,12,0.1,1000,1.34,5.49
159,2023-09-27,12,5,1100,2.67,15.35
159,2023-09-28,12,9.7,1200,3.03,20.54
159,2023-09-29,11.9,9.7,1200,2.99,20.91
159,2023-09-30,11.9,1.8,1500,1.55,6.96
159,2023-10-01,11.9,9.2,1200,3.08,20.97
159,2023-10-02,11.8,10.1,1200,2.92,20.65
159,2023-10-03,11.8,0,1000,0.72,4.83
159,2023-10-04,11.8,9.4,1100,2.89,20.29
159,2023-10-05,11.7,7.7,1200,3.07,19.59
159,2023-10-06,11.7,5.9,1200,2.92,16.67
159,2023-10-07,11.6,1,1000,2.02,10.42
159,2023-10-08,11.6,0,1200,0.71,4.51
159,2023-10-09,11.6,2,1100,2.4,9.67
159,2023-10-10,11.5,7.9,1200,2.87,18.32
159,2023-10-11,11.5,9.4,1000,2.48,17.94
159,2023-10-12,11.5,7.6,1200,2.19,14.78
159,2023-10-13,11.4,6.5,1100,2.32,16.04
159,2023-10-14,11.4,6.6,1100,2.71,16.25
159,2023-10-15,11.4,9.9,1200,2.78,18.69
159,2023-10-16,11.3,10.2,1200,2.77,18.6
159,2023-10-17,11.3,10.2,1100,2.81,18.98
159,2023-10-18,11.2,10.1,1200,2.71,18.31
159,2023-10-19,11.2,4.7,1200,2.43,13.08
159,2023-10-20,11.2,7.6,1200,2.79,16.49
159,2023-10-21,11.1,9.7,1200,2.72,17.87
159,2023-10-22,11.1,6.5,900,1.99,13.63
159,2023-10-23,11.1,10.1,1200,2.67,17.42
159,2023-10-24,11,7.5,1100,2.61,15.52
159,2023-10-25,11,10.1,1200,2.54,16.75
159,2023-10-26,11,9.9,1100,2.5,15.53
159,2023-10-27,10.9,8.3,1200,2.52,14.73
159,2023-10-28,10.9,9.6,1200,2.48,16.19
159,2023-10-29,10.9,9.8,1200,2.8,17.16
159,2023-10-30,10.8,9.9,1100,2.43,15.49
159,2023-10-31,10.8,10,1200,2.51,16.06
